teamid,playerid
AFG,AFG001
AFG,AFG002
AFG,AFG003
AFG,AFG004
AFG,AFG005
AFG,AFG006
AFG,AFG007
AFG,AFG008
AFG,AFG009
AFG,AFG010
AFG,AFG011
AFG,AFG012
AFG,AFG013
AFG,AFG014
AFG,AFG015
AFG,AFG016
AUS,AUS001
AUS,AUS002
AUS,AUS003
AUS,AUS004
AUS,AUS005
AUS,AUS006
AUS,AUS007
AUS,AUS008
AUS,AUS009
AUS,AUS010
AUS,AUS011
AUS,AUS012
AUS,AUS013
AUS,AUS014
AUS,AUS015
AUS,AUS016
BAN,BAN001
BAN,BAN002
BAN,BAN003
BAN,BAN004
BAN,BAN005
BAN,BAN006
BAN,BAN007
BAN,BAN008
BAN,BAN009
BAN,BAN010
BAN,BAN011
BAN,BAN012
BAN,BAN013
BAN,BAN014
BAN,BAN015
BAN,BAN016
ENG,ENG001
ENG,ENG002
ENG,ENG003
ENG,ENG004
ENG,ENG005
ENG,ENG006
ENG,ENG007
ENG,ENG008
ENG,ENG009
ENG,ENG010
ENG,ENG011
ENG,ENG012
ENG,ENG013
ENG,ENG014
ENG,ENG015
IND,IND001
IND,IND002
IND,IND003
IND,IND004
IND,IND005
IND,IND006
IND,IND007
IND,IND008
IND,IND009
IND,IND010
IND,IND011
IND,IND012
IND,IND013
IND,IND014
IND,IND015
IND,IND016
NZL,NZL001
NZL,NZL002
NZL,NZL003
NZL,NZL004
NZL,NZL005
NZL,NZL006
NZL,NZL007
NZL,NZL008
NZL,NZL009
NZL,NZL010
NZL,NZL011
NZL,NZL012
NZL,NZL013
NZL,NZL014
NZL,NZL015
NZL,NZL016
